language	people	translated	proofread
Swedish	670	95	7
German	1420	88	35
Spanish	905	70	67
Portuguese	1004	65	54
Turkish	645	63	46
Polish	1016	50	50
French	932	44	44
Bulgarian	1036	44	43
Georgian	648	37	36
Korean	581	26	24
Hindi	665	21	18
Bengali	718	20	19
Thai	546	20	0
Portuguese	712	18	16
Italian	773	17	15
Mongolian	509	16	10
Dutch	879	14	13
Norwegian	620	13	13
Japanese	631	13	10
Danish	801	11	8
Chinese Simplified	675	9	5
Serbian	608	7	5
Armenian	530	7	6
Czech	596	6	4
Swahili	508	5	4
Albanian	486	4	2
Hungarian	554	4	4
Chinese	1245	4	0
Tamil	607	4	2
Romanian	549	4	4
Urdu	565	3	2
Gujarati	480	3	2
Latvian	473	2	2
Indonesian	701	2	2
Estonian	502	2	2
Azerbaijani	515	1	1
Russian	838	1	0
Arabic	839	1	0
Greek	619	1	0
English	0	100	100
